EGID;IDPADR;ADRESSE;COMMUNE;DESTINATION;SOURCE_CHALEUR;NBRE_PRENEUR;DIFC;SOUMIS_AU_CALCUL;PARTICIP_EAU_CHAUDE;CALCUL_SAISON;AVANT_93;ANNEE;SRE;INDICE;CONSOM_TOTALE;CONSO_CORRIGEE;EMISSION_CO2;AGENT_1;QUANTITE_AGENT_1;AGENT_2;QUANTITE_AGENT_2;AGENT_3;QUANTITE_AGENT_3;DATE_SAISIE;SHAPE.AREA;SHAPE.LEN
1021492.0;930225029905.0;Avenue de Vaudagne 54;Meyrin;Hab plusieurs logements;;12;Non;Oui;0.3;Oui;Oui;2010;1330.0;514;684396;683620.0;49960;Mazout. en [litres]. à 36 [MJ / litre];19011;;;;;20101111;230.65475;60.7533639643898
2040082.0;930225023944.0;Chemin du Prunier 11;Grand-Saconnex;Habitation un logement;;1;Non;;0.3;Non;Oui;2010;284.0;533;157274;151372.0;8650;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];47659;;;;;20110421;82.99884999999999;38.5677824960143
1013887.0;930225015428.0;Rue du Jeu-de-l'Arc 15;Genève-Eaux-Vives;Bureaux;;18;Non;Oui;0.1;Non;Oui;2010;2484.0;424;1106640;1053216.0;80784;Mazout. en [litres]. à 36 [MJ / litre];30740;;;;;20110520;374.6147;81.9710483549807
1013727.0;930225011902.0;Route de Frontenex 58;Genève-Eaux-Vives;Hab plusieurs logements;;26;Non;Oui;0.24;Oui;Oui;2010;1782.0;551;982692;981882.0;71736;Mazout. en [litres]. à 36 [MJ / litre];27297;;;;;20110825;303.1196;69.7439334405185
295098644.0;930225029682.0;Route de Valleiry 4;Chancy;Dépôt;;1;Non;Non;0.0;Oui;Oui;2010;515.0;331;170424;170465.0;12440;Mazout. en [litres]. à 36 [MJ / litre];4734;;;;;20110817;149.94004999999999;51.8148501360526
1014189.0;930225029212.0;Rue du 31-Décembre 52;Genève-Eaux-Vives;Hab plusieurs logements;;13;Non;Oui;0.3;Oui;Oui;2010;994.0;520;516931;516880.0;28431;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];156646;;;;;20101005;124.35235;48.581085629067196
2042168.0;930225029627.0;Chemin de Valérie 19;Pregny-Chambésy;Habitation - activités;;0;Non;;0.3;Oui;Oui;2010;324.0;403;130644;130572.0;9537;Mazout. en [litres]. à 36 [MJ / litre];3629;;;;;20110607;251.57505;66.1533702968013
1021510.0;930225011035.0;Passage de la Fin 4;Meyrin;Hab plusieurs logements;;13;Non;Oui;0.3;Oui;Oui;2010;1350.0;466;630000;629100.0;45990;Mazout. en [litres]. à 36 [MJ / litre];17500;;;;;20100716;217.67545;62.171712306433
1012231.0;930225001812.0;Avenue de Beau-Séjour 21;Genève-Plainpalais;Hab plusieurs logements;;15;Non;Oui;0.3;Oui;Oui;2010;1781.0;503;895788;895843.0;65392;Mazout. en [litres]. à 36 [MJ / litre];24883;;;;;20110513;257.9208;66.1665237023951
2034569.0;950313142441.0;Chemin du Signal 4;Bernex;Hab plusieurs logements;;10;Non;Non;0.3;Oui;Non;2010;762.0;531;405256;404622.0;22289;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];122805;;;;;20101205;260.02655;65.49720491740969
1015058.0;930225030368.0;Rue de Vermont 31;Genève-Petit-Saconnex;Hab plusieurs logements;;22;Non;Oui;0.3;Oui;Oui;2010;1506.0;470;707652;707820.0;51658;Mazout. en [litres]. à 36 [MJ / litre];19657;;;;;20100729;259.90015;67.27806560609001
295040102.0;990305092918.0;Chemin de la Roselière 46;Bellevue;Hab plusieurs logements;;7;Non;Non;0.3;Non;Non;2010;612.0;396;251413;242352.0;13827;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];76186;;;;;20110221;207.14925;58.33019230260609
1011754.0;930225022480.0;Rue Philippe-PLANTAMOUR 28;Genève-Cité;Hab. - rez activités;;13;Non;Oui;0.33;Oui;Oui;2010;1762.0;551;972072;970862.0;70961;Mazout. en [litres]. à 36 [MJ / litre];27002;;;;;20110704;289.36365;71.13136339949719
1016681.0;930225002175.0;Rue du Belvédère 6;Genève-Petit-Saconnex;Hab plusieurs logements;;14;Non;Oui;0.3;Oui;Oui;2010;1405.0;404;568044;567620.0;41467;Mazout. en [litres]. à 36 [MJ / litre];15779;;;;;20110920;214.7354;58.615956289927006
1021434.0;930225010983.0;Avenue de Feuillasse 13;Meyrin;Hab. - rez activités;;9;Non;Oui;0.3;Oui;Oui;2010;1074.0;482;517536;517668.0;37780;Mazout. en [litres]. à 36 [MJ / litre];14376;;;;;20101123;231.13705;60.8177748225012
1016167.0;930225004738.0;Rue des Cèdres 14;Genève-Petit-Saconnex;Hab plusieurs logements;;19;Non;Oui;0.3;Oui;Oui;2010;1410.0;580;817920;817800.0;59708;Mazout. en [litres]. à 36 [MJ / litre];22720;;;;;20101020;196.37470000000002;56.65572645346649
2034710.0;930225040781.0;Chemin Charles-POLUZZI 47;Carouge;Hab plusieurs logements;;8;Non;Oui;0.24;Oui;Oui;2010;958.0;511;489868;489538.0;26942;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];148445;;;;;20100813;254.4667;65.2747773899935
1013415.0;930225004394.0;Rue Caroline 21;Genève-Plainpalais;Hab plusieurs logements;;22;Non;Oui;0.3;Oui;Oui;2010;1000.0;450;450864;450000.0;32913;Mazout. en [litres]. à 36 [MJ / litre];12524;;;;;20101108;186.51055;56.4290228681192
2040461.0;930225015779.0;Route de Jussy 343;Jussy;Hab plusieurs logements;;10;Non;Oui;0.3;Non;Oui;2010;1490.0;558;863424;831420.0;63029;Mazout. en [litres]. à 36 [MJ / litre];23984;;;;;20110519;294.47485;73.8685302227934
1013801.0;930225028358.0;Ruelle des Templiers 4;Genève-Eaux-Vives;Hab. - rez activités;;18;Non;Oui;0.3;Oui;Oui;2010;1371.0;569;780364;780099.0;42920;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];236474;;;;;20100803;254.38260000000002;69.08818705629659
1010377.0;930225001631.0;Cours des Bastions 10;Genève-Cité;Habitation - activités;;7;Non;Oui;0.3;Oui;Oui;2010;1985.0;442;877968;877370.0;64091;Mazout. en [litres]. à 36 [MJ / litre];24388;;;;;20101112;291.54970000000003;69.1146668043446
2749722.0;950911091915.0;Chemin du Pré-de-la-Croix 21;Collonge-Bellerive;Hab plusieurs logements;;12;Non;;0.3;Oui;Non;2010;907.0;380;345348;344660.0;25210;Mazout. en [litres]. à 36 [MJ / litre];9593;;;;;20110216;231.04165;60.997378366892
295050174.0;21126165146.0;Avenue des Communes-Réunies 15;Lancy;Hab plusieurs logements;;7;Non;Non;0.3;Oui;Non;2010;786.0;223;175533;175278.0;9654;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];53192;;;;;20101206;243.5353;64.7124888680238
2037166.0;930225000067.0;Route des Acacias 47;Genève-Plainpalais;Atelier;;23;Non;Oui;0.0;Oui;Oui;2010;10094.0;132;1334939;1332408.0;73421;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];404527;;;;;20110207;1441.19195;155.620087235363
1014365.0;930225002142.0;Clos-Belmont 20;Genève-Eaux-Vives;Hab plusieurs logements;;14;Non;Oui;0.3;Oui;Oui;2010;1875.0;516;968400;967500.0;70693;Mazout. en [litres]. à 36 [MJ / litre];26900;;;;;20110614;297.9429;82.0209167777394
1011848.0;930225026532.0;Rue SAUTTER 21;Genève-Plainpalais;Habitation - activités;;16;Non;Oui;0.3;Non;Oui;2010;2108.0;536;1172556;1129888.0;64490;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];355320;;;;;20110524;651.4645;111.934104537701
1013796.0;930225015922.0;Rue Adrien-LACHENAL 1;Genève-Eaux-Vives;Habitation - activités;;19;Non;Oui;0.3;Oui;Oui;2010;2069.0;499;1033668;1032431.0;75457;Mazout. en [litres]. à 36 [MJ / litre];28713;;;;;20110119;231.62825;61.8864490084864
1012071.0;930225021395.0;Avenue PESCHIER 22;Genève-Plainpalais;Hab plusieurs logements;;29;Non;Oui;0.3;Oui;Oui;2010;2756.0;360;993696;992160.0;54653;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];301120;;;;;20101118;353.07;78.3753566684148
2375219.0;950823105927.0;Rue de l'Encyclopédie 12;Genève-Cité;Hab. - rez activités;;19;Non;;0.35000000000000003;Oui;Non;2010;1808.0;364;658868;658112.0;36237;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];199657;;;;;20110210;187.4751;55.0182491585283
1004135.0;930225040032.0;Route de Bellegarde 10;Chancy;Hab. deux logements;;2;Non;;0.3;Oui;Oui;1995;294.0;471;128916;138474.0;9410;Mazout. en [litres]. à 36 [MJ / litre];3581;;;;;;78.04365;40.7464633682507
